KO	Pathways	Modules
K11643	ko05203	NA
K11641	ko02020	M00494
K11640	ko02020	M00494
K10594	ko04120	NA
K10595	ko04120	NA
K10596	ko04120	NA
K10597	ko04120,ko04141	NA
K10590	ko04120	NA
K10591	ko04144,ko04530,ko04120,ko05169,ko04011	NA
K10592	ko04120	NA
K10593	ko04120	NA
K14645	ko02024	NA
K10598	ko04120	NA
K10599	ko04120,ko03040	M00355,M00353
K20272	ko02024	NA
K20273	ko02024	NA
K20270	ko02024	NA
K20271	ko02024	NA
K12732	ko00360	NA
K12733	ko03040	M00355
K12730	ko00232	NA
K12731	ko00232	NA
K20278	ko04070,ko00562	NA
K20279	ko04070,ko00562	NA
K05509	ko04062,ko04060,ko04657	NA
K05508	ko04062,ko04060,ko04668	NA
K11749	ko04112,ko02024	NA
K07509	ko00280,ko00062,ko00071	M00085,M00087
K07508	ko00280,ko00062,ko00071	M00085,M00087
K16435	ko00523	M00801,M00800,M00803,M00802,M00799,M00798
K16342	ko00564,ko00565,ko04912,ko04913,ko00592,ko00591,ko00590,ko04072,ko04664,ko05231,ko04014,ko04921,ko04010,ko04370,ko04724,ko04726,ko04750,ko04611,ko04270,ko04730	NA
K11421	ko00310,ko04550	NA
K11420	ko00310,ko04211	NA
K11427	ko00310,ko05202	NA
K11425	ko00310	NA
K11424	ko00310,ko05202	NA
K11429	ko00310	NA
K11428	ko00310	NA
K16438	ko00523,ko00404	M00800,M00799,M00798
K10771	ko03410	M00296
K10772	ko03410	M00296
K10773	ko03410	NA
K10774	ko00350	NA
K14538	ko03008	NA
K10776	ko03410	M00296
K00415	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00152
K14539	ko03008	NA
K00140	ko00280,ko00562,ko00410,ko00640	M00013
K09448	ko04392,ko04391,ko04390,ko04011	M00683
K01900	ko00020,ko00640	M00009,M00011
K01903	ko00720,ko00660,ko00020,ko00640	M00009,M00173,M00374,M00011,M00620
K01902	ko00720,ko00660,ko00020,ko00640	M00009,M00173,M00374,M00011,M00620
K01905	ko00010,ko00620,ko00640	NA
K01904	ko00360,ko00130,ko00940	M00137,M00350,M00039
K01907	ko00650,ko00280	NA
K01906	ko00780	M00577
K01909	ko00071	NA
K01908	ko00640	NA
K08063	ko05340,ko05152,ko04612	NA
K00411	ko05010,ko05012,ko05016,ko02020,ko04260,ko04932,ko00190	M00152,M00151
K07763	ko04912,ko04668	NA
K19815	ko04011	NA
K07765	ko04141	NA
K19812	ko04011	NA
K07769	ko02020	M00466
K00413	ko05010,ko05012,ko05016,ko02020,ko04260,ko04932,ko00190	M00152,M00151
K19813	ko00030	NA
K04133	ko04080,ko04725,ko04810,ko04020	NA
K08067	ko04730	NA
K08066	ko05152,ko04612	NA
K04131	ko04971,ko04970,ko04972,ko04742,ko04911,ko04810,ko04020,ko04080,ko04725	NA
K20896	ko00730	NA
K20897	ko04621	NA
K20894	ko04621	NA
K20895	ko00730	NA
K04137	ko04970,ko04022,ko04020,ko04261,ko04080,ko04270	NA
K20898	ko04621	NA
K04136	ko04970,ko04022,ko04020,ko04261,ko04080,ko04270	NA
K12101	ko05120	M00564
K04134	ko04080	NA
K12100	ko05120	M00564
K05237	ko04971	NA
K04685	ko05222,ko05166,ko04350,ko04110,ko04068,ko05200,ko05203	NA
K04684	ko05224,ko05016,ko04915,ko04350,ko05231,ko04137,ko05202	NA
K04687	ko05164,ko04940,ko05323,ko05322,ko05321,ko05140,ko05146,ko05145,ko05144,ko04060,ko04066,ko04380,ko04650,ko05418,ko04630,ko04657,ko04658,ko04659,ko05143,ko05142,ko05332,ko04612,ko05330,ko05152,ko03050,ko05132,ko04660,ko04350,ko05162,ko05169,ko05168	NA
K04686	ko04350	NA
K04681	ko04350,ko04110,ko05203	M00692
K04680	ko04350,ko04015,ko04390,ko04550	NA
K04683	ko04350,ko04110	NA
K04682	ko04350,ko04110	NA
K04688	ko05224,ko04910,ko05221,ko04931,ko04666,ko04140,ko04152,ko04151,ko04150,ko04350,ko04012,ko04066,ko04371,ko05205,ko05231,ko04211,ko04212,ko04213	NA
K12103	ko05120	M00564
K02512	ko04210	NA
K09028	ko04380,ko04668	NA
K09029	ko04380,ko05030,ko05034,ko05031,ko04657	NA
K09026	ko04710	NA
K09027	ko05166,ko04141,ko04932	NA
K09024	ko00240	NA
K09025	ko03320	NA
K09023	ko00240	NA
K09020	ko00240	NA
K09021	ko00240	NA
K17908	ko04136,ko04140,ko04138	NA
K17909	ko04138	NA
K02908	ko03010	M00179,M00177
K02909	ko03010	M00178
K08218	NA	M00628
K02904	ko03010	M00179,M00178
K02905	ko03010	M00177
K02906	ko03010	M00179,M00178
K02907	ko03010	M00179,M00178
K02900	ko03010	M00177
K02901	ko03010	M00177
K02902	ko03010	M00178
K02903	ko03010	M00177
K00230	ko00860	M00121
K00231	ko00860	M00121
K00232	ko00592,ko04146,ko04024,ko00071,ko03320	M00113,M00087
K00234	ko05010,ko05012,ko05016,ko00020,ko04932,ko00190	M00009,M00011,M00148
K00235	ko05010,ko05012,ko05016,ko00020,ko04932,ko00190	M00009,M00011,M00148
K00236	ko05010,ko05012,ko05016,ko00020,ko04932,ko00190	M00009,M00011,M00148
K00237	ko05010,ko05012,ko05016,ko00020,ko04932,ko00190	M00009,M00011,M00148
K00239	ko00720,ko05134,ko00020,ko00650,ko00190	M00173,M00011,M00149,M00009,M00376,M00374
K07720	ko02020	M00519
K15847	ko05120	NA
K15856	ko00520,ko00051	NA
K15857	ko00520	NA
K15854	ko02024,ko02020	NA
K15855	ko00520	NA
K15852	ko02024	NA
K15853	ko02024,ko02020	NA
K01019	ko00600,ko00565	M00067
K04538	ko05034,ko05032,ko04151,ko04062,ko04014,ko04728,ko04371,ko04724,ko04725,ko04726,ko04727,ko05200,ko04713,ko04723	NA
K01017	ko00532	NA
K01016	ko00140	NA
K01015	ko00140	NA
K04534	ko05034,ko05032,ko04723,ko05142,ko04916,ko04915,ko04921,ko04015,ko04728,ko05145,ko04724,ko04725,ko04726,ko04727,ko04713,ko04730	NA
K04533	ko05016	NA
K01012	ko00780	M00577,M00123,M00573
K15858	ko00520	NA
K15859	ko02020	M00516
K15846	ko05120	NA
K15941	NA	M00781
K14451	ko00630	M00373
K05489	ko05323,ko04659,ko05321,ko04060,ko04657	NA
K14452	ko04975,ko00561	M00098
K14455	ko00360,ko00950,ko04975,ko00220,ko00960,ko00330,ko00250,ko00710,ko00400,ko00270,ko00350	M00171,M00170
K14454	ko00360,ko00950,ko00220,ko00960,ko00330,ko00250,ko00710,ko00400,ko00270,ko00350	M00171,M00170
K14457	ko04975,ko00561	NA
K14456	ko04975,ko00561	M00089
K14459	ko00513,ko00511	NA
K14458	ko00561	NA
K05482	ko05323,ko05321,ko05132,ko05143,ko05144,ko05164,ko04060,ko04621,ko04623,ko05152,ko05134	NA
K13403	ko00670	M00141
K14520	ko00363	NA
K20479	ko04530	NA
K12859	ko03040	M00354
K12858	ko03040	M00354
K12853	ko03040	M00354
K12852	ko03040	M00355,M00354
K12851	ko03040	NA
K12850	ko03040	NA
K12857	ko03040	M00355,M00354
K12856	ko03040	M00355,M00354
K12855	ko03040	M00354
K12854	ko03040	M00355,M00354
K14366	ko00522	M00774
K02417	ko02030,ko02040	NA
K03509	ko03460	NA
K03508	ko03460	M00293
K12971	ko04623	NA
K03506	ko03030,ko03420,ko05166,ko00230,ko00240,ko03410	M00263
K03505	ko03440,ko03030,ko03420,ko00240,ko00230,ko05166,ko03430,ko03410	M00262
K03504	ko03440,ko03030,ko03420,ko00240,ko00230,ko05166,ko03430,ko03410	M00262
K20782	ko00514	NA
K20783	ko00514	NA
K20781	ko00514	NA
K20784	ko00514	NA
K12125	ko04712	NA
K14360	ko04976	NA
K02272	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00154
K02273	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00154
K02270	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00154
K02271	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00154
K02276	ko00190	M00155
K02277	ko00190	M00155
K02274	ko00190	M00155
K02275	ko00190	M00155
K13450	ko05131,ko04626	NA
K13451	ko04626	NA
K13452	ko04626	NA
K13453	ko04626	NA
K13454	ko04626	NA
K13455	ko04626	NA
K13456	ko04626	NA
K13457	ko04626	NA
K13458	ko04626	NA
K13459	ko04626	NA
K13105	ko05202	NA
K04990	ko04742	NA
K04992	ko04142	NA
K04995	ko04971,ko04960	NA
K04997	ko05032,ko04915,ko04921,ko04728,ko04724,ko04725,ko04726,ko04713,ko04723	NA
K04996	ko04971,ko04725,ko04921,ko04924	NA
K12505	ko00900	NA
K12504	ko00900	NA
K17755	ko00260	M00555
K12506	ko00900	M00096
K12501	ko00130	NA
K12503	ko00900	NA
K17750	ko00400	NA
K14752	ko05162	NA
K10848	ko03460,ko03420	NA
K11007	ko02024,ko05130,ko05131	M00363
K06593	ko04520	NA
K06592	ko04514,ko04520	NA
K06591	ko05414,ko05410,ko04810,ko05412,ko04514,ko04512,ko04510,ko04151	NA
K06590	ko04672,ko05414,ko05410,ko04810,ko05412,ko04514,ko04512,ko04510,ko04151,ko05202	NA
K06597	ko02020	M00507
K06596	ko02025,ko02020	M00507
K06594	ko04810	NA
K06598	ko02025,ko02020	NA
K15848	ko05120	NA
K21188	NA	M00828
K07972	ko04745	NA
K07973	ko04011	NA
K07970	ko00601	NA
K07971	ko00601	NA
K19629	ko00623	NA
K10905	ko03460	NA
K10901	ko03440,ko03460	M00295,M00414
K19621	ko02020	NA
K19620	ko02020	NA
K19622	ko02020	NA
K19624	ko02020	NA
K10909	ko02024,ko02020,ko05111	M00513
K19626	ko04310	NA
K09819	NA	M00243
K09818	NA	M00243
K09817	ko02010	M00242
K09816	ko02010	M00242
K09815	ko02010	M00242
K09814	ko02010	M00257
K09813	ko02010	M00257
K09812	ko02010	M00256
K09811	ko02010	M00256
K09810	ko02010	M00255
K20345	ko02024	NA
K18575	ko00565	NA
K18572	ko00332	NA
K18570	ko00332	NA
K18571	ko00332	NA
K04058	ko03070	M00332
K04059	ko03070	M00332
K04053	NA	M00332
K04054	NA	M00332
K04056	ko03070	M00332
K04057	ko03070	M00332
K10015	ko02010	M00225,M00226
K10014	ko02010	M00226
K10017	ko02010	M00225,M00226
K10016	ko02010	M00225,M00226
K10011	ko00520	M00721,M00761
K10010	ko02010	M00234
K10013	ko02010	M00225
K10012	ko00520	M00721,M00761
K10019	ko02010	M00231
K10018	ko02010	M00231
K04234	ko05143,ko04080,ko04750	NA
K04235	ko04080,ko04610	NA
K04236	ko04080,ko04015,ko04610,ko04611,ko05200	NA
K04237	ko04062,ko04530,ko04144,ko04080,ko04015,ko04360,ko04391,ko04390,ko04520	NA
K04230	ko04080	NA
K04231	ko04080	NA
K04232	ko04080	NA
K04233	ko04080	NA
K04238	ko04080	NA
K04239	ko04080	NA
K15628	ko02010,ko04146	NA
K15625	ko05202	NA
K15624	ko05202	NA
K15627	ko05202	NA
K15626	ko05202	NA
K15621	ko05202	NA
K15620	ko05202	NA
K15623	ko05202	NA
K15622	ko05202	NA
K18107	ko00040	M00630
K18106	ko00040	M00630
K18104	ko02010	M00700
K18103	ko00040	M00630
K18102	ko00040	M00630
K18101	ko02025,ko02024	NA
K18100	ko02025,ko02024	NA
K18109	ko00909	NA
K18108	ko00902	NA
K15997	ko00522	M00774
K15996	ko00522	M00773
K15995	ko00522	M00773
K15994	ko00522	M00773
K15993	ko00522	M00773
K15992	ko00522	M00773
K15991	ko00522	M00773
K15990	ko00522	M00773
K07888	ko04144,ko04145,ko05152,ko04962,ko05146,ko04014	NA
K15999	ko00522	NA
K15998	ko00522	NA
K06821	ko04360	NA
K21221	NA	M00831
K21161	NA	M00824
K21224	NA	M00831
K06820	ko04360	NA
K01466	ko00230	M00546
K01467	ko02020	M00628
K01464	ko00983,ko00240,ko00410,ko00770	M00046
K01465	ko00240	M00051
K21160	NA	M00824
K01460	ko00480	NA
K13596	ko04350,ko04060,ko05418,ko04550	M00679,M00681
K13599	ko02020	M00498
K13598	ko02020	M00498
K01468	ko00340	M00045
K01469	ko00480	NA
K01541	ko00190	NA
K09251	ko00330	NA
K09253	ko04380,ko05166,ko05169,ko04010,ko04064	NA
K05669	ko02010	NA
K01543	ko04971,ko04966,ko00190	NA
K02041	ko02010	M00223
K02040	ko02010,ko05152,ko02020	M00222
K05547	ko04080,ko04919	NA
K05546	ko00510,ko04141	M00073,M00074
K02045	ko02010,ko00920	M00185
K02044	ko02010	M00223
K02047	ko02010,ko00920	M00185
K02046	ko02010,ko00920	M00185
K02049	NA	M00188
K02048	ko02010,ko00920	M00185
K05019	ko03013	NA
K05018	ko04966	NA
K05549	ko00362,ko00364,ko00622	M00551
K08028	ko04950	NA
K01544	ko00190	NA
K01547	ko02020	NA
K01546	ko02020	NA
K21162	NA	M00824
K05660	ko02010	NA
K18129	NA	M00643
K05661	ko02010	NA
K05662	ko02010	NA
K17103	ko00564,ko00260	M00093
K17100	ko00680	M00344
K05663	ko02010	NA
K17106	ko04917	NA
K17107	ko04917	NA
K17104	ko00564	NA
K17105	ko00564	NA
K05664	ko02010,ko04976	NA
K17108	ko00511,ko00600	NA
K21165	NA	M00824
K05665	ko02010,ko04071,ko05206,ko04977	NA
K14714	ko04216	NA
K05666	ko02010,ko04976	NA
K14710	ko04978	NA
K05667	ko02010,ko04976	NA
K13843	ko05144	NA
K13842	ko05144	NA
K13841	ko05144	NA
K13840	ko05144	NA
K07531	ko04360	NA
K19439	ko05168	NA
K11404	ko04919,ko05034,ko05203	NA
K13844	ko05144	NA
K19434	ko05168	NA
K19435	ko05168	NA
K19436	ko05168	NA
K19437	ko05168	NA
K18819	ko00052	NA
K18818	ko00051	NA
K06162	ko00440	NA
K06163	ko00440	NA
K06160	ko02010	NA
K06161	ko02010	NA
K06166	ko00440	NA
K06167	ko00440	NA
K06164	ko00440	NA
K06165	ko00440	NA
K09648	ko03060	NA
K16677	ko04391	NA
K04325	ko04911	NA
K16676	ko04391	NA
K21166	NA	M00824
K16675	ko04391	NA
K14666	NA	M00664
K16674	ko04391	NA
K16673	ko04391	NA
K16672	ko04391	NA
K04838	ko04261	NA
K09600	ko04142	NA
K02923	ko03010	M00177
K04832	ko04750	NA
K04833	ko04728	NA
K04830	ko04750	NA
K04831	ko04750	NA
K04836	ko04742	NA
K04834	ko04742	NA
K04835	ko00660,ko00630	M00740
K11621	ko02020	NA
K11992	ko04146,ko00120	M00104
K11623	ko02020	M00484
K11622	ko02020	NA
K11625	ko02020	NA
K11996	ko04122	NA
K11627	ko00970	M00360
K11626	ko02020	NA
K11629	ko02020	M00469,M00738
K09571	ko04915	NA
K06786	ko04530,ko05120	NA
K06787	ko04670,ko04514	NA
K06785	ko04530,ko04670,ko04514,ko05120	NA
K10578	ko04120,ko05012,ko04141	NA
K10579	ko04120	NA
K10576	ko04120	NA
K10577	ko03013,ko04120,ko05206,ko04064	M00427
K10574	ko04120	NA
K10575	ko04120,ko05012,ko04141	NA
K10572	ko04070,ko00562	M00132
K10573	ko04120	NA
K10570	ko04120,ko03420	M00386
K10571	ko04120	NA
K12710	ko00523	M00795
K12711	ko00401	NA
K12712	ko00401	NA
K12713	ko00401	NA
K12714	ko00401	NA
K16679	ko04214,ko04391,ko04013,ko04215	NA
K20254	ko03320	NA
K12719	ko00401	NA
K20256	ko02024	NA
K20257	ko02025,ko02024,ko00405	NA
K20250	ko02024,ko00270	NA
K20252	ko02024	NA
K20253	ko02024	NA
K07562	ko03013,ko03008	NA
K11199	ko02060	M00305
K11198	ko02060	M00305
K11192	ko02060,ko00520	M00303
K11191	ko02060,ko00520	M00303
K11196	ko02060,ko00051	M00304
K11195	ko02060,ko00051	M00304
K11194	ko02060,ko00051	M00304
K05444	ko04630	NA
K10718	ko00981	NA
K10719	ko00981	NA
K10712	ko00430	NA
K10713	ko00680	NA
K10717	ko00908	NA
K10714	ko00680	NA
K10715	ko02024,ko02020	M00517
K01929	ko00300,ko00550	NA
K01928	ko00300,ko00550	NA
K01085	ko00010	NA
K01923	ko00230	M00048
K01922	ko00770	M00120
K01921	ko00473,ko00550	NA
K01920	ko00480,ko00270	M00118
K01925	ko00471,ko00550	NA
K01924	ko00471,ko00550	NA
K18374	NA	M00660
K07789	ko02020	M00648
K07788	ko02020	M00648
K05830	ko00220,ko00300	M00031,M00763
K07785	ko02020	NA
K07784	ko02020	NA
K07787	ko02020	NA
K07786	ko02020	NA
K07781	ko02024,ko02026,ko02020	NA
K07780	ko02020	NA
K07783	ko02020	NA
K07782	ko02024,ko02026,ko02020	NA
K05832	NA	M00247
K13888	NA	M00709
K03941	ko05010,ko05012,ko05016,ko04932,ko00190,ko04723	M00143
K03940	ko05010,ko05012,ko05016,ko04932,ko00190,ko04723	M00143
K08168	NA	M00704
K07521	ko04360	NA
K15294	ko04721	NA
K15295	ko04721	NA
K15296	ko04138,ko04721	NA
K15297	ko04911	NA
K15290	ko04721	NA
K15291	ko04721,ko04723	NA
K15292	ko04721	NA
K15293	ko04721	NA
K10162	ko04350,ko04310	NA
K21129	ko04657	NA
K21128	ko04657	NA
K21125	ko04657	NA
K21124	ko04657	NA
K21127	ko04657	NA
K21126	ko04657	NA
K21123	ko03040,ko05168	NA
K18379	NA	M00660
K00780	ko00603,ko00512,ko00533,ko00604	NA
K00781	ko00513,ko00601,ko00533,ko00515,ko00514	NA
K00784	ko03013	NA
K00038	ko00140	NA
K00787	ko05164,ko05166,ko00900	M00366,M00367
K00036	ko00030,ko00480,ko05230	M00008,M00004,M00006
K00037	ko00140,ko00120	M00104
K00034	ko00030	NA
K00035	ko00052	NA
K00032	ko00030,ko00480	NA
K00033	ko00030,ko00480	M00004,M00006
K00030	ko00020	M00009,M00010
K00031	ko00720,ko00480,ko04146,ko00020	M00009,M00740,M00173,M00010
K11006	ko02024,ko05130,ko05131	M00363
K01259	ko00330	NA
K15942	NA	M00781
K07523	ko04514,ko04360	NA
K01255	ko00480	NA
K01254	ko00590	NA
K01257	ko04614	NA
K01256	ko00480	NA
K01251	ko00270	M00035
K01253	ko05204,ko00980,ko04976	NA
K17920	ko04144	NA
K11003	ko03070,ko05133	M00575,M00325
K06843	ko04360	NA
K11002	ko00563	NA
K14145	ko05145	NA
K09007	ko00790	M00126
K08239	ko04142	NA
K19191	ko00760	NA
K19190	ko00760	NA
K08231	ko04919	NA
K19199	ko00310	NA
K08233	ko00901	NA
K14142	ko05145	NA
K00259	ko00250,ko00430	NA
K14141	ko05145	NA
K00252	ko00310,ko00362,ko00071,ko00380	M00032
K00253	ko00280	M00036
K00251	ko00140,ko00120	M00104
K00257	ko00281	NA
K00254	ko00240	M00051
K00255	ko00071,ko03320	M00087
K01079	ko00680,ko00260	M00020
K01078	ko00627,ko00730,ko00740	NA
K15872	ko00121	NA
K15873	ko00121	NA
K15874	ko00121	NA
K15876	ko00910	M00530
K15877	ko00910	M00529
K01071	ko00061	NA
K01070	ko00680	NA
K04553	ko04120,ko05012	NA
K04552	ko04120,ko05012	NA
K04555	ko04120,ko05012,ko04141	NA
K04554	ko04120,ko05012,ko04141	NA
K01077	ko00627,ko00730,ko00790,ko02020	M00126
K04556	ko04120,ko05012,ko04137,ko04141	NA
K14479	ko05143	NA
K14478	ko05143	NA
K14473	ko05143	NA
K14472	ko00720,ko00660	M00376
K14471	ko00720,ko00660	M00376
K14470	ko00720	M00376
K14477	ko05143	NA
K14475	ko05143	NA
K14474	ko05143	NA
K20410	ko04150	NA
K20411	ko04150	NA
K02788	ko02060,ko00052	M00281
K02782	ko02060,ko00051	M00280
K02783	ko02060,ko00051	M00280
K02781	ko02060,ko00051	M00280
K02786	ko02060,ko00052	M00281
K02787	ko02060,ko00052	M00281
K02784	ko02060	NA
K01787	ko00520	NA
K01786	ko00040	NA
K01785	ko00010,ko00052	M00632
K01784	ko00520,ko00052	M00361,M00362,M00632
K01783	ko00030,ko00040,ko00710	M00004,M00007
K01782	ko00650,ko00410,ko00640,ko00310,ko00071,ko00362,ko00281,ko00280,ko00930,ko00380,ko00903	M00032,M00087
K01781	ko00627	NA
K01788	ko00520	NA
K05206	ko04080	NA
K02527	ko00540	M00080,M00060
K02256	ko05010,ko05012,ko05016,ko04260,ko04932,ko00190	M00154
K02257	ko00860,ko00190	M00154
K05202	ko04724,ko04080	NA
K02523	ko00900	NA
K02252	ko02024,ko02020	NA
K02253	ko02024,ko02020	NA
K02258	ko00190	M00154
K02259	ko00860,ko02020,ko00190	M00154
K05208	ko05010,ko05034,ko05033,ko05014,ko05031,ko05016,ko04024,ko04020,ko04080,ko04014,ko04015,ko04724,ko04713,ko04720,ko05030	NA
K05209	ko05010,ko05034,ko05033,ko05014,ko05031,ko05030,ko05322,ko04024,ko04020,ko04080,ko04014,ko04015,ko04728,ko04724,ko04713,ko04720	NA
K15582	ko02010,ko02024	M00439
K03781	ko04213,ko05014,ko04146,ko04016,ko00630,ko04011,ko04211,ko04212,ko04068,ko00380	M00532
K03780	ko00630	NA
K03783	ko00240,ko00760,ko00230	NA
K03782	ko00360,ko00940,ko00380	NA
K03785	ko00400	M00022
K03784	ko00240,ko00760,ko00230	NA
K03787	ko00240,ko00760,ko00230	NA
K03786	ko00400	M00022
K03788	ko00627,ko00740	NA
K13129	ko03013	M00426
K13439	ko04626	NA
K13432	ko04626	NA
K13433	ko04626	NA
K13430	ko04626	NA
K13431	ko03060	NA
K13436	ko04626	NA
K13437	ko04626	NA
K13126	ko03013,ko03018,ko03015	NA
K13435	ko04626	NA
K17738	ko00040	NA
K01064	ko05224,ko04310,ko04916,ko04150,ko05166,ko05217,ko05205,ko04550,ko05200,ko04390	M00677
K08558	ko04925	NA
K19340	ko02010	M00762
K21164	NA	M00824
K03125	ko03022	NA
K03124	ko03022,ko05169,ko05203	NA
K03127	ko03022,ko05168	NA
K03126	ko03022	NA
K03121	ko03022,ko04022,ko05168	NA
K03120	ko03022,ko05016,ko05166,ko05169,ko05168,ko05203	NA
K03123	ko03022,ko05203	NA
K03122	ko03022,ko05203	NA
K08836	ko04114	NA
K08834	ko04745	NA
K03129	ko03022,ko05168,ko05016	NA
K03128	ko03022	NA
K12527	ko00450	NA
K12526	ko00270,ko00261,ko00260,ko00300	M00526,M00018,M00016,M00017,M00527
K12525	ko00270,ko00261,ko00260,ko00300	M00526,M00018,M00016,M00017,M00527
K12524	ko00270,ko00261,ko00260,ko00300	M00526,M00018,M00016,M00017,M00527
K09789	ko00780	M00572
K09788	ko00640	NA
K06575	ko04640,ko05144	NA
K06574	ko05144	NA
K09784	ko04012	NA
K09783	ko04012	NA
K09782	ko04012,ko04390	NA
K12529	ko00450	NA
K12528	ko00450	NA
K16066	ko00240,ko00260	NA
K16064	ko04120,ko04630	NA
K16065	ko04120,ko05418,ko04630,ko04064	NA
K16062	ko04062,ko04060,ko04064	NA
K16063	ko05222,ko04120,ko05200,ko04630	NA
K16060	ko05222,ko04668,ko04064,ko05145,ko04624,ko04621,ko04510,ko04210,ko04120,ko05200,ko04215	NA
K16061	ko05222,ko04120,ko05200,ko04215,ko05145	NA
K07953	ko05134,ko04141	M00404
K19603	ko04657	NA
K19605	ko04340	NA
K19604	ko03040	NA
K08780	ko04614,ko04972,ko04974	NA
K19609	ko02020	M00770
K19608	ko04340	NA
K10961	ko05111	NA
K10960	ko00900,ko00860	NA
K10963	ko05111	NA
K10962	ko05111	NA
K10965	ko05111	NA
K05633	ko04144,ko04120	NA
K10967	ko00514	NA
K10969	ko00514	NA
K10968	ko00514	NA
K09879	ko00906	NA
K09877	ko04976	NA
K09876	ko04962	NA
K11389	ko00010	M00001,M00002
K11384	ko02020	M00505
K11382	ko02020	NA
K11383	ko02020	M00505
K11381	ko00280,ko00640	M00036
K10381	ko05412	NA
K10380	ko05205,ko04624	NA
K02401	ko02040	NA
K02582	ko04750,ko04151,ko04014,ko04015,ko04010,ko04210,ko04722	NA
K04032	ko00860	NA
K18551	ko00760	NA
K04036	ko00860	NA
K04037	ko00860	NA
K04034	ko00860	NA
K04035	ko00860	NA
K18558	ko00720	M00173
K18559	ko00720	M00173
K04038	ko00860	NA
K04039	ko00860	NA
K07046	ko00051	NA
K02400	ko02040	NA
K14484	ko04075	NA
K10039	ko02010	M00228
K10038	ko02010	M00227
K10037	ko02010	M00227
K10036	ko02010	M00227
K10035	ko04062,ko04060	NA
K10034	ko04062,ko04060	NA
K10033	ko04060	NA
K10032	ko04062,ko04060	NA
K10031	ko04672,ko04670,ko04062,ko04060,ko04360,ko04064,ko05323,ko05200	NA
K10030	ko05120,ko05323,ko05142,ko05146,ko05144,ko04062,ko04060,ko04064,ko04657,ko04933,ko04932,ko05219,ko05134,ko05132,ko05133,ko05131,ko04072,ko05164,ko05161,ko05160,ko04621,ko04620,ko04622,ko05200,ko05202	NA
K15607	ko05202	NA
K15605	ko05202	NA
K15604	ko05202	NA
K15600	ko02010	M00442
K02402	ko02024,ko02026,ko02020,ko02040	NA
K10537	ko02010	M00213
K02405	ko02025,ko02026,ko02020,ko02040,ko05111	NA
K13601	ko00860	NA
K13600	ko00860	NA
K13603	ko00860	NA
K13602	ko00860	NA
K13605	ko00860	NA
K13604	ko00860	NA
K13607	ko00960	NA
K13606	ko00860	NA
K13609	ko00310,ko00960	NA
K13608	ko00960	NA
K10539	ko02010	M00213
K15465	ko04137	NA
K15464	ko04137,ko04068,ko04140,ko05134	NA
K05783	ko00362,ko00364,ko00622	M00551
K05780	ko00440	NA
K05784	ko00362,ko00364,ko00622	M00551
K01440	ko04213,ko00760	NA
K01441	ko04071,ko00600	M00099
K01442	ko00120,ko00121	NA
K01443	ko00520	NA
K01444	ko00511,ko04142	NA
K01448	NA	M00727
K09279	ko04658	NA
K09278	ko05202	NA
K02069	NA	M00211
K02068	NA	M00211
K19383	ko04350	NA
K08009	ko05418,ko04145,ko04670,ko05140,ko04621,ko04380	NA
K08008	ko04380,ko05418,ko04933	NA
K02063	ko02010	M00191
K02062	ko02010	M00191
K02067	ko02010	M00669,M00670,M00210
K02066	ko02010	M00669,M00670,M00210
K02065	ko02010	M00669,M00670,M00210
K02064	ko02010	M00191
K03338	ko00562	NA
K03339	ko00562	NA
K03330	ko00970	NA
K03331	ko00040	M00014
K03332	ko00051	NA
K03333	ko00984	NA
K03334	ko00360,ko00950,ko00250,ko00280,ko00400,ko00270,ko00350,ko00380	M00044
K03335	ko00562	NA
K03336	ko00562	NA
K03337	ko00562	NA
K12127	ko04712	NA
K03728	ko04710	NA
K12958	ko04144,ko05205,ko05100,ko05418,ko04510	NA
K12959	ko04144,ko05205,ko05100,ko05418,ko04510	NA
K21163	NA	M00824
K14730	ko00903	NA
K14731	ko00930,ko00903	NA
K14732	ko00903	NA
K14733	ko00903	NA
K14734	ko04978	NA
K14735	ko04978,ko00860	NA
K14736	ko04978,ko04066,ko04216	NA
K14737	ko04978	NA
K14738	ko04978	NA
K14686	ko04978	NA
K13792	ko05131	NA
K12126	ko04712,ko04075	NA
K21167	NA	M00824
K18835	ko04626	NA
K18834	ko04626	NA
K09668	ko00515	NA
K09664	ko00533	NA
K09666	ko00515	NA
K09667	ko04931,ko00514	NA
K09661	ko00510,ko00515	M00075
K09662	ko00512	M00056
K09663	ko00512	M00056
K17388	ko04062,ko04310,ko04071,ko04670,ko04024,ko05132,ko04022,ko04810,ko05131,ko04530,ko04921,ko04360,ko05130,ko04510,ko05205,ko05200,ko04611,ko04270	NA
K08339	ko04622,ko04213,ko04140,ko05131,ko04138,ko04621,ko04211,ko04137,ko04136,ko04216	NA
K08338	ko04138	NA
K20623	ko00905	NA
K17383	ko05206,ko04013	NA
K20625	ko00625	NA
K20627	ko00643,ko00640	NA
K20626	ko00643,ko00640	NA
K04304	ko04060	NA
K00072	ko00790	NA
