KO	Pathways	Modules
K04467	ko05120,ko05142,ko05145,ko04062,ko04064,ko04380,ko04150,ko04068,ko05418,ko04657,ko04658,ko04659,ko05215,ko05212,ko05131,ko04210,ko04014,ko04010,ko05222,ko04668,ko05220,ko05221,ko05169,ko04660,ko04151,ko04662,ko04920,ko05166,ko05161,ko05160,ko05162,ko04621,ko04620,ko04623,ko04622,ko05200,ko05168	M00686
K00779	ko00510,ko00514	M00075
K00778	ko00510,ko00514	M00075
K04466	ko05120,ko04668,ko04672,ko04660,ko05166,ko04010,ko04064,ko04210,ko04380,ko05169	NA
K19081	ko02020	M00737,M00734
K19080	ko02010,ko05150,ko02020	M00732,M00730
K19083	ko02010,ko02020	M00737,M00731
K19082	ko02020	M00737,M00734
K18481	NA	M00670
K18680	ko04111	NA
K18681	ko03018	NA
K18682	ko03018	NA
K20844	ko00520	NA
K18687	ko00984	NA
K18689	ko00900	NA
K07177	ko02024	NA
K07173	ko02024,ko00270,ko02026,ko05111	M00609
K10700	ko00642	NA
K07178	ko03008	NA
K07179	ko03008	NA
K00195	ko00680	M00422
K00194	ko00720,ko00680	M00377,M00357,M00422
K00197	ko00720,ko00680	M00377,M00357,M00422
K00196	ko00720,ko00633,ko00680	NA
K00193	ko00680	M00357,M00422
K00192	ko00680	M00422
K00198	ko00720,ko00633,ko00680	M00377
K10109	ko02010	M00194
K10108	ko02010,ko02030	M00194
K10107	ko02010	M00249
K10106	ko00130	NA
K10105	ko00785	NA
K10100	ko04141	M00382
K15557	ko02010	M00437
K15556	ko02010	M00437
K15555	ko02010,ko00920	M00436
K15554	ko02010,ko00920	M00436
K15553	ko02010,ko00920	M00436
K15552	ko02010,ko00920	M00435
K15551	ko02010,ko00920	M00435
K01826	ko00350	M00533
K01827	ko00350,ko04916	NA
K01824	ko00100	M00101
K01825	ko00650,ko00410,ko00640,ko00310,ko00071,ko00362,ko00281,ko00280,ko00930,ko00380,ko00903	M00032,M00087
K01822	ko00140,ko00984	M00110,M00107
K18357	ko00360	NA
K01820	ko00040,ko00051	NA
K18355	ko00360	NA
K15089	ko00902	NA
K15088	ko00902	NA
K12878	ko03013,ko03040	M00405,M00406
K15087	ko00902	NA
K15086	ko00902	NA
K00999	ko04070,ko00564,ko00562	NA
K00998	ko00564,ko00260	M00093
K00995	ko00564	NA
K00994	ko05231,ko00564,ko00565,ko00440	M00090
K00997	ko00770	NA
K00991	ko00900	M00096
K00990	ko02020	NA
K00993	ko00564,ko00565,ko00440	M00092
K00992	ko00520	NA
K18231	ko02010	NA
K18230	ko02010	NA
K18233	ko02010	M00634
K18232	ko02010	M00634
K18239	ko00400	NA
K14544	ko03008	NA
K15885	NA	M00778
K15884	NA	M00778
K15887	ko00900	NA
K16554	ko05111	NA
K15889	ko00900	NA
K15888	ko00900	NA
K04626	ko04742,ko04973	NA
K18300	NA	M00641
K13489	ko02025,ko02020	NA
K13488	ko02025,ko02020	NA
K13483	ko00230	M00546
K13482	ko00230	M00546
K13481	ko00230	M00546
K13480	ko00230	M00546
K13487	ko02025,ko02020	NA
K13486	ko02020	NA
K13485	ko00230	M00546
K13484	ko00230	M00546
K09348	ko05215,ko05200	NA
K09341	ko05166	NA
K10189	ko02010	M00199
K14685	ko04978,ko04216	NA
K02739	ko03050	M00340
K02738	ko03050	M00340
K05109	ko04360	NA
K14681	ko00250,ko00220	M00029,M00028
K08359	ko02020,ko00920	NA
K08358	ko02020,ko00920	NA
K08357	ko02020,ko00920	NA
K02732	ko03050	M00337,M00340
K14938	ko04212,ko00981	NA
K08354	ko00920	NA
K08353	ko00920	NA
K08352	ko00920	NA
K08351	ko00780	NA
K02734	ko03050	M00337,M00340
K03469	ko03030	NA
K03460	ko04976	NA
K03462	ko04621,ko00760	NA
K03464	ko00362	M00568
K03465	ko00240,ko00670	NA
K01648	ko00720,ko00020	NA
K01649	ko00290,ko00620	M00432
K01643	ko02020	NA
K01640	ko04146,ko00650,ko00281,ko00072,ko00280	M00088,M00036
K01641	ko00900,ko00650,ko00072,ko00280	M00088,M00095
K01646	ko02020	NA
K01647	ko00630,ko00020	M00009,M00012,M00010,M00740
K01644	ko02020	NA
K01645	ko04310	NA
K19452	ko05169	NA
K02594	ko00620	NA
K02591	ko00625,ko00910	M00175
K02599	ko04919,ko05020,ko04658,ko05224,ko04320,ko05206,ko04330	M00682
K02849	ko00540	M00080
K02848	ko00540	M00080
K14066	ko00900	M00366
K14067	ko00630,ko00680	M00346
K02841	ko00540	M00080
K02840	ko00540	M00080
K02843	ko00540	M00080
K02842	ko05224,ko04310,ko04916,ko04150,ko05166,ko05217,ko05205,ko04550,ko05200,ko04390	M00677
K02844	ko00540	M00080
K02847	ko00540	M00080
K19453	ko05169	NA
K18909	NA	M00705
K18908	NA	M00705
K18907	NA	M00702,M00700
K18906	NA	M00717,M00702,M00704,M00700
K18905	NA	M00699
K18904	NA	M00699
K18903	NA	M00698
K18902	NA	M00698
K18901	NA	M00698
K18900	NA	M00698
K09758	ko00250,ko00270	NA
K09759	ko00970	M00360
K06034	ko00680	M00358
K09755	ko00940	M00039
K09756	ko00940	NA
K09757	ko00940	NA
K06030	ko04621,ko04137,ko04214	NA
K19450	ko05169	NA
K09753	ko00940	M00039
K01581	ko00480,ko00330	M00134
K19451	ko05169	NA
K13499	ko00532	M00058
K04257	ko04740	NA
K20064	ko04150	NA
K13490	ko02025,ko02020	M00509
K13491	ko02025,ko02020	M00509
K03644	ko00785	NA
K03648	ko05340,ko03410	NA
K03649	ko03410	NA
K06691	ko05169,ko03050	M00341
K06696	ko04612,ko03050	M00337
K06697	ko04612,ko03050	M00337
K06698	ko05160,ko04612,ko03050	NA
K06699	ko03050	NA
K11814	NA	M00710
K12420	ko00253	M00778
K07345	ko05133	NA
K07344	ko02024	NA
K07611	ko04210,ko04214	NA
K07610	ko05414,ko05410,ko05412	NA
K07342	ko04145,ko05110,ko04141,ko03060	M00401
K16507	ko04391,ko04392	NA
K05729	ko05212,ko04810	NA
K06965	ko03015	NA
K10948	ko05110	NA
K05728	ko05120	NA
K08991	ko03440,ko03460	NA
K18550	ko00760,ko00230	NA
K05119	ko05223	NA
K21257	NA	M00834,M00833
K08348	ko02020	NA
K21255	NA	M00834,M00833
K21254	NA	M00834,M00833
K08349	ko02020	NA
K05114	ko04360	NA
K21259	NA	M00833
K21258	NA	M00834,M00833
K19746	ko00472	NA
K19744	ko00472	NA
